staff_id,staff_gpn,staff_bu_code
31136,CN010512522,CN401
31139,CN010512537,CN401
31200,CN010512692,CN407
31203,CN010512709,CN407
31204,CN010512710,CN407
31207,CN010512723,CN407
31290,CN010512883,CN409
31292,CN010512894,CN417
31343,CN010511961,CN403
31345,CN010511981,CN403
31347,CN010511995,CN403
31348,CN010511996,CN403
31358,CN010512026,CN403
31359,CN010512041,CN403
31366,CN010512093,CN403
31368,CN010512113,CN403
31375,CN010512193,CN413
31377,CN010512221,CN413
31378,CN010512224,CN416
31379,CN010512225,CN416
31380,CN010512228,CN416
31393,CN010512267,CN419
31395,CN010512269,CN419
31396,CN010512274,CN414
31397,CN010512278,CN422
31400,CN010512302,CN403
31401,CN010512308,CN403
31405,CN010512338,CN401
31416,CN010512366,CN401
31426,CN010512390,CN401
31430,CN010512454,CN401
31433,CN010512483,CN401
31447,CN010514484,CN405
31455,CN010512516,CN401
31460,CN010514513,CN401
31463,CN010514524,CN409
31464,CN010514533,CN401
31467,CN010514537,CN406
31468,CN010514538,CN403
31514,CN010512663,CN407
31516,CN010512686,CN407
31540,CN010512713,CN407
31545,CN010512765,CN405
31565,CN010512874,CN401
31566,CN010512879,CN409
31584,CN010512918,CN405
31640,CN010513100,CN403
31645,CN010516128,CN425
31665,CN010516475,CN201
31676,CN010513407,CN403
31684,CN010514020,CN401
31716,CN010514515,CN401
31722,CN010463241,CN403
31772,CN010464918,CN403
31811,CN010516121,CN403
31847,CN010518832,CN407
31859,CN010519110,CN403
31860,HK010519118,HK001
31881,CN010466545,CN403
31919,CN010519841,CN401
31963,CN010520145,CN403
31987,CN010468301,CN403
32065,CN010545740,CN403
32076,CN010478545,CN403
32116,CN010547209,CN417
32121,CN010550849,CN409
32129,CN010551205,CN403
32132,CN010551511,CN403
32148,CN010552237,CN403
32177,CN010479950,CN405
32181,CN010480173,CN401
32189,CN010553174,CN405
32226,HK010549342,HK001
32231,CN010480816,CN401
32270,CN010481395,CN422
32274,CN010553415,CN403
32278,CN010553707,CN403
32279,HK010553710,HK001
32298,CN010550484,CN407
32305,CN010550869,CN777
32308,CN010551214,CN403
32310,CN010551517,CN403
32313,CN010551535,CN401
32315,CN010551555,CN405
32341,CN010552845,CN411
32363,CN010554572,CN403
32375,CN010554685,CN403
32377,CN010553047,CN403
32380,CN010553185,CN405
32382,CN010553329,CN425
32384,CN010553340,CN425
32391,CN010553351,CN725
32392,CN010553356,CN725
32394,CN010554695,CN403
32396,CN010554710,CN403
32402,CN010483425,CN401
32406,CN010553370,CN425
32410,CN010553422,CN403
32411,CN010553701,CN403
32417,HK010553733,HK001
32420,HK010553782,HK001
32489,CN010484981,CN403
32499,CN010554917,CN405
32501,CN010529139,CN403
32523,CN010534648,CN405
32530,HK010535467,HK001
32532,HK010535473,HK001
32535,HK010535498,HK001
32559,HK010530173,HK001
32578,CN010536692,CN417
32582,CN010473428,CN401
32605,CN010473436,CN401
32607,CN010473450,CN401
32660,HK010539194,HK001
32680,HK010535446,HK040
32684,HK010535464,HK001
32685,HK010535465,HK001
32696,CN010539603,CN401
32721,HK010535476,HK001
32722,HK010535480,HK001
32728,CN010541140,CN403
32739,CN010542097,CN401
32747,CN010473610,CN407
32750,CN010473622,CN405
