name_query,code,main_service_line,sub_service_line,engage_nature
IPO2021,22973218,2,1,1
AUD2021,22531818,2,1,0
AUD2021,22532308,2,1,0
IPO2021,22681943,2,1,1
INT2022,22803523,2,1,0
QTR2022,22803563,2,1,0
INT2022,22803568,2,1,0
INT2022,22803573,1,1,0
INT2022,22803583,2,1,0
QTR2022,22803608,2,1,0
INT2022,22803623,2,1,0
QTR2022,22803638,2,1,0
INT2022,22803668,2,1,0
INT2022,22803713,2,1,0
INT2022,22803718,2,1,0
QTR2022,22803728,2,1,0
QTR2022,22803758,2,1,0
INT2022,22803768,2,1,0
QTR2022,22803788,2,1,0
QTR2022,22803813,2,1,0
QTR2022,22803818,2,1,0
INT2022,22803823,2,1,0
INT2022,22803833,2,1,0
QTR2022,22803858,2,1,0
QTR2022,22803863,2,1,0
QTR2022,22803908,2,1,0
INT2022,22803973,2,1,0
INT2022,22804518,2,1,0
INT2022,22804553,2,1,0
INT2022,22804558,2,1,0
INT2022,22804563,2,1,0
INT2022,22804593,2,1,0
INT2022,22804608,2,1,0
QTR2022,22804618,2,1,0
INT2022,22804628,2,1,0
INT2022,22804638,2,1,0
INT2022,22804643,2,1,0
INT2022,22804663,2,1,0
INT2022,22804668,2,1,0
INT2022,22804678,2,1,0
QTR2022,22804683,2,1,0
INT2022,22804693,2,1,0
INT2022,22804723,2,1,0
INT2022,22804733,2,1,0
INT2022,22804743,2,1,0
QTR2022,22804768,2,1,0
INT2022,22804828,2,1,0
INT2022,22804833,2,1,0
INT2022,22804843,2,1,0
INT2022,22804853,2,1,0
INT2022,22804858,2,1,0
QTR2022,22804863,2,1,0
INT2022,22804868,2,1,0
INT2022,22804888,2,1,0
QTR2022,22804893,2,1,0
INT2022,22804913,1,1,0
INT2022,22804928,2,1,0
INT2022,22804953,2,1,0
INT2022,22804958,2,1,0
INT2022,22804978,2,1,0
INT2022,22804983,2,1,0
QTR2022,22805578,2,1,0
QTR2022,22805603,2,1,0
QTR2022,22805608,2,1,0
INT2022,22805708,2,1,0
QTR2022,22805713,2,1,0
INT2022,22805738,2,1,0
QTR2022,22805743,2,1,0
INT2022,22805768,2,1,0
INT2022,22805788,2,1,0
INT2022,22805818,2,1,0
INT2022,22805878,2,1,0
INT2022,22805893,2,1,0
INT2022,22805918,2,1,0
QTR2022,22805928,2,1,0
