eic_id,eic_gpn,eic_bu_code
34501,CN010560674,CN416
34604,CN010563238,CN401
34615,CN010563431,CN403
34714,CN010565394,CN422
34727,CN010565469,CN403
34811,HK010567046,HK040
34814,HK010567062,HK040
34847,HK010567705,HK001
34978,HK010570788,HK001
35140,HK010598573,HK001
36166,HK010519240,HK001
36215,CN010519945,CN403
36321,CN010523032,CN403
36362,HK010607087,HK001
36502,CN010525762,CN401
36562,CN010528044,CN403
36827,CN010625057,CN406
36862,CN010531794,CN428
36901,HK010629043,HK001
37035,CN010545875,CN401
37036,CN010545883,CN403
37065,HK010546520,HK070
37077,CN010546536,CN401
37130,CN010547639,CN401
37203,CN010549625,CN403
37214,CN010640900,CN726
37358,HK010641384,HK001
37580,CN010536487,CN405
37631,CN010537852,CN403
37641,CN010537866,CN401
37704,CN010640981,CN426
37985,CN010544606,CN407
38098,CN010668216,CN403
38176,CN010561120,CN401
38231,CN010685487,CN403
38289,CN010685188,CN416
38352,HK010563919,HK001
38511,HK010642085,HK001
38657,CN010554356,CN403
38950,HK010657062,HK001
39078,CN010556715,CN401
39361,CN010662304,CN407
39646,CN010567701,CN401
39675,CN010567804,CN401
39722,HK010568719,HK001
40219,HK010697514,HK001
40387,HK010692051,HK040
40431,CN010713269,CN403
40447,HK010692789,HK001
40456,CN010715824,CN417
41068,CN011002964,CN401
41135,CN010707130,CN717
41162,CN010707176,CN417
41243,CN011003712,CN403
41347,CN011004797,CN403
41350,CN011004814,CN403
41391,CN011005236,CN403
41514,CN010717719,CN403
41652,CN011001094,CN419
41653,CN011001100,CN403
41740,CN011001452,CN401
41741,CN011001523,CN401
41744,CN011001559,CN403
41762,CN011001855,CN403
42078,CN011001301,CN407
42108,CN011001842,CN405
42184,CN011003006,CN403
42299,HK011007113,HK001
42358,HK011003822,HK001
42396,HK011003932,HK001
42408,CN011004021,CN401
42489,HK011004401,HK001
42669,CN011007756,CN403
43251,CN011011184,CN403
43367,CN011009743,CN403
43388,CN010639534,CN403
43437,CN010640891,CN726
43449,CN011011654,CN403
43482,CN010640963,CN426
43522,CN010641018,CN426
43750,CN011013529,CN409
43933,HK011014796,HK001
44032,CN011015331,CN410
44043,CN011011255,CN403
44119,CN011015465,CN403
44255,CN011016469,CN403
44470,HK011017221,HK001
44506,HK011017344,HK040
44657,CN011013062,CN401
44841,HK011014896,HK001
44868,CN011015073,CN401
44893,HK011015415,HK001
44940,CN011018635,CN403
45098,HK011016363,HK001
45495,CN011017535,CN405
45758,HK011017879,HK001
45888,HK011018176,HK001
45951,CN010048020,CN407
46143,CN011018984,CN401
46146,HK011018998,HK001
46332,CN010677469,CN403
46350,CN010679768,CN401
46458,CN011020011,CN401
46460,CN011020050,CN430
46471,HK011020283,HK001
46528,CN010685508,CN403
46683,HK011021554,HK001
46684,CN011021557,CN401
46758,HK010405419,HK001
46843,CN011023816,CN401
47055,HK010406615,HK001
47087,CN010693119,CN403
47163,CN013715199,CN403
47299,CN013862547,CN403
47442,HK010407504,HK001
47758,CN010408134,CN403
48069,CN010703051,CN403
48150,CN010706996,CN403
48171,HK010407101,HK040
48263,CN010709399,CN403
48384,HK010409098,HK001
48483,HK010717086,HK040
48572,CN011001091,CN401
48587,CN011001120,CN416
48710,CN011001469,CN401
48738,CN011001639,CN401
48791,HK010409701,HK001
48801,CN011001950,CN403
49052,HK011002617,HK001
49129,CN011003169,CN403
49184,CN011003353,CN401
49423,CN011004265,CN401
49542,CN011004630,CN403
49544,CN010760569,CN405
49564,CN011004713,CN401
49694,CN011004897,CN403
49779,CN011005242,CN403
49994,HK011006344,HK040
50002,CN010771779,CN401
50006,CN010771789,CN401
50484,CN010771135,CN401
50578,CN011006884,CN403
50666,CN010760192,CN407
50765,CN010760383,CN407
51078,CN010772612,CN405
51105,CN010772707,CN401
51290,CN010771870,CN401
51364,CN010772084,CN401
51391,CN011009644,CN403
51484,CN010773449,CN405
51516,CN011009739,CN403
51517,CN011009741,CN403
51773,CN010772909,CN401
51804,CN010773974,CN401
51825,CN011009923,CN403
52152,CN010780621,CN403
52259,CN010780833,CN403
52298,CN011010625,CN430
52484,CN011010741,CN403
52730,CN011010231,CN403
52758,CN01077X834,CN401
52771,CN01077X849,CN401
52811,CN010773806,CN401
52824,CN010773820,CN412
52873,CN011010288,CN403
52874,CN011010298,CN405
52985,CN011010493,CN403
53212,HK011011030,HK001
53522,HK011013268,HK001
53660,HK011014462,HK001
53697,CN010782318,CN403
53751,CN011015233,CN405
53969,CN01078X479,CN403
53972,CN011016040,CN405
54113,CN010782812,CN403
54605,CN01078X234,CN403
54617,CN010782712,CN403
54631,CN011011674,CN403
54831,CN010782999,CN403
54881,CN011011953,CN403
54933,CN010783066,CN403
54957,CN010781991,CN403
55218,CN011017864,CN403
55253,HK011017925,HK001
55351,HK011018025,HK001
55565,CN0107H0123,CN403
55571,CN0107H0152,CN403
55572,CN0107H0153,CN403
55595,CN0107H0278,CN403
55609,CN0107H0369,CN403
55759,HK011019052,HK001
55980,HK011021436,HK001
55983,CN011021447,CN403
56175,CN013711637,CN403
56184,CN013717732,CN403
56431,CN010050362,CN405
56700,HK010409884,HK001
56913,CN010760356,CN407
56936,CN010760482,CN407
56943,CN010760501,CN407
57273,HK010408066,HK001
57357,HK010408510,HK001
57483,HK010409059,HK001
57761,CN010771114,CN401
57819,CN010771363,CN401
57834,CN010057719,CN403
57863,CN010057775,CN403
57931,CN010771792,CN401
57933,CN010057786,CN403
57947,CN010771837,CN401
58030,CN010057821,CN403
58051,CN010057841,CN405
58053,CN010057847,CN403
58106,CN010772452,CN401
58119,CN010772504,CN401
58164,CN010772697,CN401
58175,CN010772742,CN401
58321,CN010773239,CN401
58346,CN010058198,CN403
58359,CN010773387,CN414
58399,CN010058277,CN403
58481,CN010058560,CN407
58535,CN010058605,CN410
59074,CN010062058,CN401
59141,CN010781359,CN407
59151,CN010781406,CN403
59263,CN010781781,CN403
59422,CN010069148,CN403
59698,CN010782917,CN403
59770,CN010076890,CN403
59779,CN010076902,CN401
59798,CN010077123,CN401
59860,HK010077624,HK001
60086,HK010106565,HK001
60088,CN010106600,CN413
60091,CN010106740,CN413
60114,HK010107437,HK001
60115,CN010107451,CN411
60165,CN010108834,CN403
60213,CN010109780,CN403
60242,CN010110030,CN403
60326,CN010111746,CN401
60399,HK010114658,HK001
60419,CN010115026,CN401
60658,CN0107B0013,CN413
60891,CN0107W0173,CN405
61012,HK010084284,HK001
61098,CN010087010,CN403
61195,CN010088831,CN405
61259,CN010090246,CN401
61261,CN010090251,CN403
61538,CN010120832,CN401
61670,CN010125296,CN407
61941,HK010137807,HK001
61981,CN010139041,CN403
62021,CN010139362,CN403
62073,CN010140625,CN403
62082,CN010140694,CN413
62103,CN010141684,CN403
62203,CN010146576,CN425
62220,HK010147073,HK040
62279,CN010149022,CN411
62283,CN010149186,CN401
62286,CN010149251,CN401
62295,CN010149591,CN417
