id,eng_type
86643,101
86648,101
86649,101
86651,101
86653,201
86656,101
86658,101
86660,101
86666,101
86676,101
86679,101
86681,101
86684,101
86687,101
86688,101
86689,101
86697,101
86698,101
86700,101
86702,101
86703,101
86704,101
86705,101
86706,101
86707,101
86710,101
86712,201
86713,201
86714,201
86715,201
86717,101
86719,101
86728,101
86737,101
86742,101
86743,101
86744,101
86750,101
86754,101
86773,101
86784,101
86788,101
86794,101
86795,101
86800,101
86803,101
86806,101
86807,101
86808,101
86809,101
86810,101
86813,101
86814,101
86815,101
86816,101
86817,101
86818,101
86819,101
86820,101
86821,101
86823,101
86824,101
86826,101
86830,101
86831,101
86832,101
86833,101
86834,101
86836,101
86837,101
86838,101
86839,101
86840,101
86841,101
86842,101
86843,101
86844,101
86845,101
86846,101
86847,101
86848,101
86849,101
86850,101
86851,101
86853,101
86854,101
86855,101
86856,101
86857,101
86858,101
86859,101
86860,101
86861,101
86862,101
86875,101
86888,101
86890,101
86891,101
86900,101
86901,101
86902,101
86903,101
86904,101
86905,101
86906,101
86908,101
86909,101
86912,101
86913,101
86914,101
86915,101
86917,101
86918,101
86919,101
86920,101
86921,101
86922,101
86924,101
86925,101
86928,101
86929,101
86930,101
86931,101
86932,101
86933,101
86934,101
86935,101
86936,101
86938,101
86939,101
86940,101
86941,101
86942,101
86943,101
86944,101
86945,101
86948,101
86949,101
86950,101
86951,101
86952,101
86953,101
86954,101
86955,101
86956,101
86957,101
86958,101
86959,101
86960,101
86961,101
86962,101
86963,101
86964,101
86965,101
86966,101
86967,101
86968,101
86969,101
86970,101
86971,101
86972,101
86973,101
86974,101
86975,101
86976,101
86977,101
86978,101
86979,101
86980,101
86981,101
86982,101
86983,101
86984,101
86985,101
86988,101
86989,101
86990,101
86991,101
86992,101
86993,101
86997,101
86998,101
86999,101
87000,101
87001,101
87002,101
87003,101
87004,101
87005,101
87006,101
87007,101
87008,101
87009,101
87010,101
87012,101
87013,101
87015,101
87016,101
87021,101
87022,101
87023,101
87024,101
87026,101
87027,101
87028,101
87029,101
87031,101
87032,101
87033,101
87034,101
87035,101
87038,101
87039,101
87040,101
87041,101
87042,101
87043,101
87045,101
87046,101
87048,101
87049,101
87050,101
87051,101
87052,101
87053,101
87055,101
87056,101
87057,101
87059,101
87060,101
87061,101
87062,101
87063,101
87064,101
87066,101
87070,101
87078,101
87088,101
87093,101
87096,101
87109,101
87127,201
87130,101
87132,101
87136,101
87159,101
87165,101
87169,101
87171,101
87188,101
87189,101
87190,101
87198,101
87210,101
87212,101
87221,101
87224,201
87227,101
87235,101
87243,101
87244,101
87250,101
87260,101
87262,101
87272,201
87273,201
87274,101
87276,101
87277,101
87299,101
87306,101
87310,101
87311,101
87312,101
87318,101
87320,101
87322,101
87325,101
87326,101
87327,101
87328,101
87329,101
87330,101
87333,101
87334,101
87335,101
87336,101
87337,101
87341,101
87351,101
87354,101
87356,101
87360,101
87371,101
87379,101
87380,101
87392,101
87400,101
87401,101
87407,101
87409,101
87410,101
87411,101
87429,101
87430,101
87431,101
87432,101
87434,101
87435,101
87436,101
87442,101
87445,101
87450,101
87452,101
87463,101
87470,101
87473,101
87499,101
87500,101
87501,101
87502,101
87503,101
87510,101
87514,101
87520,101
87521,101
87523,101
87525,101
87526,101
87527,101
87528,101
87529,101
87530,101
87531,101
87532,101
87533,101
87535,101
87536,101
87537,101
87538,101
87539,101
87540,101
87542,101
87544,101
87545,101
87546,101
87547,101
87548,101
87549,101
87551,101
87554,101
87555,101
87556,101
87558,101
87559,101
87560,101
87561,101
87562,101
87565,101
87566,101
87567,101
87568,101
87569,101
87570,101
87572,101
87574,101
87576,101
87577,101
87578,101
87579,101
87580,101
87581,101
87582,101
87583,101
87584,101
87585,101
87589,101
87592,101
87593,101
87594,101
87597,101
87598,101
87599,101
87601,101
87602,101
87603,101
87604,101
87605,101
87606,101
87609,101
87610,101
87611,101
87612,101
87613,101
87615,101
87618,101
87620,101
87621,101
87622,101
87623,101
87624,101
87625,101
87627,101
87636,101
87641,101
87642,101
87643,101
87647,101
87653,101
87667,101
87675,101
87680,101
87682,101
87688,101
87693,101
87696,101
87697,101
87698,101
87708,101
87710,101
87712,101
87714,101
87718,101
87719,101
87721,101
87726,101
87727,101
87760,101
87763,101
87764,101
87771,101
87773,101
87775,101
87778,101
87786,101
87801,101
87803,101
87813,101
87845,101
87858,101
87880,101
87881,101
87898,101
87900,101
87901,101
87902,101
87904,101
87906,101
87947,101
87949,101
87953,101
87954,101
87962,101
87967,101
87986,101
87987,101
87990,101
87993,101
88001,101
88003,101
88013,101
88017,101
88021,101
88022,101
88023,101
88025,101
88026,101
88029,101
88031,101
88033,101
88034,101
88035,101
88036,101
88037,101
88038,101
88039,101
88040,101
88041,101
88042,101
88043,101
88045,101
88046,101
88055,101
88056,101
88059,101
88081,101
88095,101
88096,101
88097,101
88107,101
88121,101
88122,201
88126,201
88127,101
88131,101
88132,101
88140,101
88150,101
88151,101
88156,101
88159,101
88160,101
88163,101
88165,101
88177,101
88203,101
88206,101
88207,201
88208,101
88209,101
88217,101
88219,101
88222,101
88234,101
88236,101
88240,101
88241,101
88242,101
88244,101
88245,101
88246,101
88247,101
88249,101
88254,101
88257,101
88260,101
88261,101
88262,101
88263,101
